gvkey,cid,cnms,ctype,gareac,gareat,salecs,sid,stype,srcdate,conm,tic,cusip,CIK,sic,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,Founded,date,fyear
1209,10,On-site,MARKET,,,1622.6,20,OPSEG,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2019-09-30,2019
1209,11,Merchant,MARKET,,,1041.0,20,OPSEG,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2019-09-30,2019
1209,13,Sale of equipment,MARKET,,,118.3,24,OPSEG,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2019-09-30,2019
1209,8,On-site,MARKET,,,728.4,19,OPSEG,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2019-09-30,2019
1209,6,On-site,MARKET,,,2230.6,18,OPSEG,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2019-09-30,2019
1209,9,Merchant,MARKET,,,1274.1,19,OPSEG,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2019-09-30,2019
1209,7,Merchant,MARKET,,,1642.9,18,OPSEG,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2019-09-30,2019
1209,12,Sale of equipment,MARKET,,,261.0,21,OPSEG,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2019-09-30,2019
1209,16,On-site,MARKET,,,77.9,26,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1209,10,On-site,MARKET,,,1833.9,20,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1209,15,Merchant,MARKET,,,1787.9,25,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1209,7,Merchant,MARKET,,,1945.8,18,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1209,14,On-site,MARKET,,,1298.2,25,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1209,6,On-site,MARKET,,,3423.1,18,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1209,17,Merchant,MARKET,,,51.6,26,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1209,13,Sale of equipment,MARKET,,,970.8,24,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1209,11,Merchant,MARKET,,,1309.4,20,OPSEG,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,2022-09-30,2022
1327,23,Apple Inc,COMPANY,,,1722.168,7,BUSSEG,2019-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,2002,2019-09-30,2019
1327,30,Distributors,MARKET,,,4488.1,7,BUSSEG,2022-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,2002,2022-09-30,2022
1327,31,Direct customers,MARKET,,,997.4,7,BUSSEG,2022-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,2002,2022-09-30,2022
1327,23,Apple Inc,COMPANY,,,3181.59,7,BUSSEG,2022-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,2002,2022-09-30,2022
1632,36,International,GEOREG,OTHER,REG,3954.103,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,35,"Macnica, Inc.",COMPANY,,,599.107,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,32,Direct customers,MARKET,,,2506.065,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,33,Other Markets,MARKET,,,75.839,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,18,Industrial,MARKET,,,3003.927,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,34,Arrow Electronics Inc,COMPANY,,,1797.32,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,29,Automotive,MARKET,,,933.143,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,26,Distributors,MARKET,,,3409.161,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,13,Communications,MARKET,,,1284.087,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,21,Consumer,MARKET,,,769.908,5,BUSSEG,2019-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2019-10-31,2019
1632,32,Direct customers,MARKET,,,4423.883,5,BUSSEG,2022-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2022-10-31,2022
1632,26,Distributors,MARKET,,,7458.478,5,BUSSEG,2022-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2022-10-31,2022
1632,34,Arrow Electronics Inc,COMPANY,,,2643.07,5,BUSSEG,2022-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2022-10-31,2022
1632,29,Automotive,MARKET,,,2515.513,5,BUSSEG,2022-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2022-10-31,2022
1632,18,Industrial,MARKET,,,6069.332,5,BUSSEG,2022-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2022-10-31,2022
1632,21,Consumer,MARKET,,,1548.411,5,BUSSEG,2022-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2022-10-31,2022
1632,13,Communications,MARKET,,,1880.697,5,BUSSEG,2022-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2022-10-31,2022
1632,33,Other Markets,MARKET,,,131.592,5,BUSSEG,2022-10-31,ANALOG DEVICES INC,ADI,032654105,6281.0,3674,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,2022-10-31,2022
1690,16,Direct Distribution,MARKET,,,80653.94,21,BUSSEG,2019-09-30,APPLE INC,AAPL,037833100,320193.0,3663,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977,2019-09-30,2019
1690,29,Other Countries,GEOREG,OTHER,REG,114230.0,21,BUSSEG,2019-09-30,APPLE INC,AAPL,037833100,320193.0,3663,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977,2019-09-30,2019
1690,27,United States,GEOREG,USA,ISO,102266.0,21,BUSSEG,2019-09-30,APPLE INC,AAPL,037833100,320193.0,3663,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977,2019-09-30,2019
